zipcode,latitude,longitude,zipcode
52075,42.1735336,-90.4783354,52075
50483,43.1038172,-93.9814843,50483
50207,41.4461397,-92.6436584,50207
52163,43.217452,-92.0920782,52163
52202,42.1466083,-91.631975,52202
50138,41.3089017,-93.100449,50138
52215,41.8914148,-92.4005821,52215
50060,40.7612351,-93.330905,50060
52236,41.7133399,-91.8911048,52236
47905,40.4173824,-86.8230496,47905
52337,41.8847786,-91.143502,52337
52338,41.8324297,-91.6774438,52338
52070,42.0649742,-90.1828811,52070
47633,38.1643826,-87.7806084,47633
46939,41.0136397,-86.4121424,46939
52551,40.8129837,-92.1039119,52551
52554,40.9347329,-92.2384359,52554
62821,38.0802752,-88.1664208,62821
52619,40.5265518,-91.5611491,52619
52626,40.6427709,-91.6939209,52626
62548,39.9941972,-89.301785,62548
52631,40.7911606,-91.6520227,52631
62462,39.2225077,-88.4536713,62462
52750,41.9186091,-90.3894804,52750
62363,39.6083622,-90.8075859,62363
52760,41.5766005,-91.0491089,52760
52542,40.6455153,-92.0623081,52542
52765,41.7021056,-90.8650938,52765
52035,42.6620472,-91.1824976,52035
51631,40.5939146,-95.00715,51631
52346,41.9891198,-92.0956261,52346
50128,41.8424658,-94.2964131,50128
50154,42.1204774,-93.3860327,50154
52248,41.3577852,-91.9270753,52248
50174,41.0349703,-93.9448026,50174
52052,42.7572472,-91.1105358,52052
50223,42.1581842,-94.0020511,50223
50254,41.0117937,-94.0578282,50254
51458,42.3097477,-95.1935456,51458
50268,41.4052435,-92.3775853,50268
51453,42.2529146,-94.537939,51453
50321,41.5461288,-93.6586083,50321
50533,42.6450529,-93.8929151,50533
50322,41.6288785,-93.7366454,50322
50477,42.9766708,-93.3134736,50477
51240,43.3211064,-96.3802159,51240
50641,42.6059865,-91.9213441,50641
50681,42.7705388,-92.0131187,50681
51239,43.2035068,-96.1508894,51239
51009,42.9467894,-95.5515669,51009
51055,42.2232585,-96.23594,51055
51343,43.0166476,-95.1226832,51343
51542,41.4370272,-95.8372515,51542
50630,42.9497372,-92.242098,50630
51552,41.4691464,-95.1198045,51552
50543,42.2739827,-94.2729379,50543
51364,43.304678,-94.9714014,51364
50044,41.2015954,-92.8903966,50044
61752,40.3433088,-88.758374,61752
61534,40.4283934,-89.6601615,61534
56320,45.4600953,-94.4277584,56320
56474,46.7264391,-94.4044109,56474
56378,45.7306963,-94.9638516,56378
56482,46.4446691,-95.1361898,56482
56524,46.2259538,-95.6215761,56524
56527,46.3680196,-95.3252376,56527
56240,45.569298,-96.4386291,56240
56528,46.5436096,-95.7815967,56528
56225,45.4603566,-96.437794,56225
56533,46.38006,-96.1296943,56533
56115,44.1774285,-95.9019575,56115
56534,46.457183,-96.018358,56534
56549,46.8102806,-96.2687208,56549
56550,47.2647322,-96.8106894,56550
56574,47.184896,-96.75237,56574
52772,41.7432161,-91.1407364,52772
56592,47.530588,-95.987835,56592
56729,48.661909,-96.5921819,56729
52214,42.1911344,-91.4986142,52214
56733,48.642818,-96.904845,56733
56737,48.4902933,-95.8048764,56737
52142,42.8200424,-91.8004147,52142
68001,41.33442,-96.951224,68001
